Vardas         Pavarde        Galutinis(Vid.)     
Vardas165      Pavarde165     9.04                
Vardas166      Pavarde166     5.32                
Vardas168      Pavarde168     5.48                
Vardas169      Pavarde169     7.68                
Vardas170      Pavarde170     5.00                
Vardas172      Pavarde172     7.08                
Vardas173      Pavarde173     5.80                
Vardas174      Pavarde174     7.52                
Vardas175      Pavarde175     8.16                
Vardas177      Pavarde177     6.44                
Vardas179      Pavarde179     7.92                
Vardas180      Pavarde180     5.32                
Vardas181      Pavarde181     6.24                
Vardas187      Pavarde187     5.68                
Vardas190      Pavarde190     6.80                
Vardas191      Pavarde191     5.32                
Vardas192      Pavarde192     7.64                
Vardas193      Pavarde193     7.00                
Vardas194      Pavarde194     5.00                
Vardas199      Pavarde199     5.68                
Vardas200      Pavarde200     5.48                
Vardas203      Pavarde203     8.24                
Vardas204      Pavarde204     6.40                
Vardas206      Pavarde206     7.64                
Vardas207      Pavarde207     7.52                
Vardas208      Pavarde208     5.64                
Vardas211      Pavarde211     6.56                
Vardas212      Pavarde212     7.12                
Vardas213      Pavarde213     7.20                
Vardas215      Pavarde215     5.60                
Vardas219      Pavarde219     8.24                
Vardas227      Pavarde227     5.48                
Vardas228      Pavarde228     7.04                
Vardas229      Pavarde229     6.84                
Vardas231      Pavarde231     6.32                
Vardas232      Pavarde232     7.68                
Vardas235      Pavarde235     6.40                
Vardas236      Pavarde236     8.64                
Vardas237      Pavarde237     7.60                
Vardas238      Pavarde238     7.68                
Vardas241      Pavarde241     7.08                
Vardas243      Pavarde243     6.20                
Vardas245      Pavarde245     6.16                
Vardas247      Pavarde247     7.40                
Vardas249      Pavarde249     7.72                
Vardas251      Pavarde251     5.32                
Vardas252      Pavarde252     5.24                
Vardas257      Pavarde257     6.00                
Vardas259      Pavarde259     6.96                
Vardas262      Pavarde262     8.88                
Vardas264      Pavarde264     8.28                
Vardas265      Pavarde265     5.36                
Vardas268      Pavarde268     8.52                
Vardas269      Pavarde269     9.36                
Vardas272      Pavarde272     6.52                
Vardas273      Pavarde273     6.08                
Vardas274      Pavarde274     6.20                
Vardas275      Pavarde275     5.60                
Vardas276      Pavarde276     7.68                
Vardas277      Pavarde277     5.56                
Vardas281      Pavarde281     6.68                
Vardas282      Pavarde282     7.80                
Vardas283      Pavarde283     8.24                
Vardas284      Pavarde284     5.28                
Vardas285      Pavarde285     7.32                
Vardas286      Pavarde286     7.68                
Vardas288      Pavarde288     7.32                
Vardas291      Pavarde291     6.28                
Vardas293      Pavarde293     8.16                
Vardas295      Pavarde295     5.64                
Vardas296      Pavarde296     5.88                
Vardas297      Pavarde297     7.44                
Vardas298      Pavarde298     7.72                
Vardas300      Pavarde300     5.60                
Vardas303      Pavarde303     5.32                
Vardas304      Pavarde304     8.24                
Vardas306      Pavarde306     7.76                
Vardas310      Pavarde310     5.08                
Vardas312      Pavarde312     6.88                
Vardas313      Pavarde313     5.36                
Vardas314      Pavarde314     6.36                
Vardas315      Pavarde315     8.40                
Vardas316      Pavarde316     7.04                
Vardas317      Pavarde317     7.88                
Vardas318      Pavarde318     8.40                
Vardas321      Pavarde321     5.20                
Vardas322      Pavarde322     6.44                
Vardas323      Pavarde323     7.92                
Vardas324      Pavarde324     6.56                
Vardas327      Pavarde327     7.68                
Vardas328      Pavarde328     7.08                
Vardas329      Pavarde329     7.24                
Vardas331      Pavarde331     5.28                
Vardas334      Pavarde334     5.48                
Vardas335      Pavarde335     8.04                
Vardas337      Pavarde337     8.64                
Vardas341      Pavarde341     6.80                
Vardas344      Pavarde344     6.36                
Vardas345      Pavarde345     6.88                
Vardas348      Pavarde348     6.24                
Vardas350      Pavarde350     6.48                
Vardas351      Pavarde351     7.20                
Vardas352      Pavarde352     6.68                
Vardas353      Pavarde353     6.48                
Vardas355      Pavarde355     7.04                
Vardas357      Pavarde357     6.52                
Vardas358      Pavarde358     7.96                
Vardas362      Pavarde362     8.72                
Vardas364      Pavarde364     5.84                
Vardas365      Pavarde365     5.92                
Vardas368      Pavarde368     5.60                
Vardas369      Pavarde369     7.44                
Vardas370      Pavarde370     7.72                
Vardas371      Pavarde371     6.92                
Vardas372      Pavarde372     6.48                
Vardas373      Pavarde373     6.20                
Vardas375      Pavarde375     7.56                
Vardas376      Pavarde376     7.44                
Vardas377      Pavarde377     6.60                
Vardas382      Pavarde382     6.68                
Vardas383      Pavarde383     7.00                
Vardas384      Pavarde384     6.24                
Vardas386      Pavarde386     5.52                
Vardas389      Pavarde389     7.56                
Vardas391      Pavarde391     6.52                
Vardas392      Pavarde392     6.72                
Vardas393      Pavarde393     7.00                
Vardas394      Pavarde394     6.80                
Vardas396      Pavarde396     7.72                
Vardas400      Pavarde400     7.84                
Vardas402      Pavarde402     5.32                
Vardas403      Pavarde403     7.72                
Vardas405      Pavarde405     7.84                
Vardas408      Pavarde408     7.16                
Vardas410      Pavarde410     5.32                
Vardas411      Pavarde411     8.00                
Vardas412      Pavarde412     8.12                
Vardas413      Pavarde413     6.88                
Vardas414      Pavarde414     8.28                
Vardas416      Pavarde416     8.48                
Vardas417      Pavarde417     7.24                
Vardas419      Pavarde419     5.68                
Vardas420      Pavarde420     8.20                
Vardas422      Pavarde422     6.16                
Vardas423      Pavarde423     5.16                
Vardas432      Pavarde432     5.92                
Vardas433      Pavarde433     5.20                
Vardas435      Pavarde435     6.76                
Vardas436      Pavarde436     6.24                
Vardas437      Pavarde437     6.80                
Vardas438      Pavarde438     7.72                
Vardas443      Pavarde443     5.88                
Vardas445      Pavarde445     8.24                
Vardas446      Pavarde446     7.64                
Vardas447      Pavarde447     5.88                
Vardas448      Pavarde448     6.60                
Vardas449      Pavarde449     5.04                
Vardas456      Pavarde456     6.64                
Vardas457      Pavarde457     6.92                
Vardas458      Pavarde458     6.20                
Vardas460      Pavarde460     7.96                
Vardas461      Pavarde461     7.44                
Vardas462      Pavarde462     6.60                
Vardas463      Pavarde463     7.60                
Vardas464      Pavarde464     7.28                
Vardas469      Pavarde469     5.84                
Vardas472      Pavarde472     7.20                
Vardas473      Pavarde473     5.76                
Vardas476      Pavarde476     7.52                
Vardas478      Pavarde478     5.60                
Vardas481      Pavarde481     5.52                
Vardas482      Pavarde482     6.56                
Vardas484      Pavarde484     7.96                
Vardas485      Pavarde485     5.76                
Vardas486      Pavarde486     7.16                
Vardas491      Pavarde491     5.28                
Vardas493      Pavarde493     6.56                
Vardas494      Pavarde494     6.28                
Vardas495      Pavarde495     8.40                
Vardas496      Pavarde496     8.08                
Vardas497      Pavarde497     6.72                
Vardas498      Pavarde498     8.12                
Vardas499      Pavarde499     5.04                
Vardas501      Pavarde501     5.20                
Vardas504      Pavarde504     8.64                
Vardas506      Pavarde506     7.36                
Vardas507      Pavarde507     7.48                
Vardas508      Pavarde508     8.00                
Vardas509      Pavarde509     7.64                
Vardas512      Pavarde512     5.88                
Vardas513      Pavarde513     5.52                
Vardas515      Pavarde515     5.72                
Vardas517      Pavarde517     6.84                
Vardas518      Pavarde518     7.48                
Vardas521      Pavarde521     8.40                
Vardas523      Pavarde523     8.88                
Vardas524      Pavarde524     6.16                
Vardas525      Pavarde525     6.76                
Vardas526      Pavarde526     7.60                
Vardas527      Pavarde527     8.32                
Vardas528      Pavarde528     6.52                
Vardas530      Pavarde530     8.40                
Vardas531      Pavarde531     6.64                
Vardas532      Pavarde532     8.00                
Vardas535      Pavarde535     6.48                
Vardas536      Pavarde536     6.08                
Vardas537      Pavarde537     5.24                
Vardas538      Pavarde538     8.72                
Vardas539      Pavarde539     8.64                
Vardas540      Pavarde540     5.56                
Vardas544      Pavarde544     5.04                
Vardas545      Pavarde545     8.16                
Vardas546      Pavarde546     6.72                
Vardas548      Pavarde548     7.96                
Vardas550      Pavarde550     5.44                
Vardas551      Pavarde551     9.04                
Vardas552      Pavarde552     5.32                
Vardas553      Pavarde553     5.44                
Vardas554      Pavarde554     8.48                
Vardas555      Pavarde555     5.48                
Vardas556      Pavarde556     7.28                
Vardas559      Pavarde559     5.84                
Vardas560      Pavarde560     5.24                
Vardas561      Pavarde561     7.80                
Vardas562      Pavarde562     6.64                
Vardas563      Pavarde563     5.24                
Vardas567      Pavarde567     7.28                
Vardas570      Pavarde570     6.28                
Vardas571      Pavarde571     7.56                
Vardas572      Pavarde572     7.76                
Vardas575      Pavarde575     5.76                
Vardas577      Pavarde577     6.08                
Vardas578      Pavarde578     7.24                
Vardas583      Pavarde583     6.48                
Vardas585      Pavarde585     7.92                
Vardas587      Pavarde587     6.68                
Vardas588      Pavarde588     7.76                
Vardas589      Pavarde589     7.28                
Vardas592      Pavarde592     6.92                
Vardas593      Pavarde593     7.56                
Vardas594      Pavarde594     8.56                
Vardas596      Pavarde596     7.00                
Vardas597      Pavarde597     7.16                
Vardas598      Pavarde598     7.80                
Vardas600      Pavarde600     7.20                
Vardas602      Pavarde602     7.80                
Vardas603      Pavarde603     6.84                
Vardas604      Pavarde604     5.52                
Vardas605      Pavarde605     6.84                
Vardas606      Pavarde606     5.04                
Vardas607      Pavarde607     8.16                
Vardas608      Pavarde608     6.88                
Vardas610      Pavarde610     6.52                
Vardas611      Pavarde611     7.12                
Vardas612      Pavarde612     7.92                
Vardas614      Pavarde614     8.04                
Vardas615      Pavarde615     6.00                
Vardas617      Pavarde617     6.68                
Vardas618      Pavarde618     5.68                
Vardas619      Pavarde619     7.08                
Vardas620      Pavarde620     6.52                
Vardas621      Pavarde621     6.76                
Vardas625      Pavarde625     6.24                
Vardas626      Pavarde626     8.28                
Vardas627      Pavarde627     8.00                
Vardas628      Pavarde628     5.60                
Vardas630      Pavarde630     6.48                
Vardas632      Pavarde632     5.88                
Vardas634      Pavarde634     8.56                
Vardas635      Pavarde635     7.24                
Vardas636      Pavarde636     5.08                
Vardas637      Pavarde637     7.00                
Vardas638      Pavarde638     6.36                
Vardas646      Pavarde646     7.28                
Vardas648      Pavarde648     7.60                
Vardas650      Pavarde650     6.48                
Vardas651      Pavarde651     5.20                
Vardas652      Pavarde652     5.04                
Vardas655      Pavarde655     8.44                
Vardas656      Pavarde656     7.00                
Vardas657      Pavarde657     6.68                
Vardas658      Pavarde658     9.20                
Vardas659      Pavarde659     7.52                
Vardas662      Pavarde662     6.60                
Vardas663      Pavarde663     5.24                
Vardas664      Pavarde664     8.56                
Vardas665      Pavarde665     7.24                
Vardas668      Pavarde668     7.20                
Vardas671      Pavarde671     5.08                
Vardas672      Pavarde672     5.36                
Vardas674      Pavarde674     6.52                
Vardas675      Pavarde675     8.96                
Vardas676      Pavarde676     7.16                
Vardas678      Pavarde678     9.04                
Vardas680      Pavarde680     7.32                
Vardas681      Pavarde681     7.96                
Vardas683      Pavarde683     5.68                
Vardas685      Pavarde685     5.92                
Vardas689      Pavarde689     6.44                
Vardas690      Pavarde690     7.60                
Vardas692      Pavarde692     8.64                
Vardas693      Pavarde693     7.88                
Vardas694      Pavarde694     8.32                
Vardas695      Pavarde695     7.76                
Vardas696      Pavarde696     5.24                
Vardas698      Pavarde698     6.16                
Vardas699      Pavarde699     7.32                
Vardas700      Pavarde700     7.44                
Vardas701      Pavarde701     6.80                
Vardas704      Pavarde704     7.20                
Vardas706      Pavarde706     8.08                
Vardas707      Pavarde707     8.56                
Vardas708      Pavarde708     8.32                
Vardas709      Pavarde709     8.80                
Vardas714      Pavarde714     7.60                
Vardas716      Pavarde716     8.08                
Vardas718      Pavarde718     7.56                
Vardas721      Pavarde721     6.00                
Vardas722      Pavarde722     6.84                
Vardas724      Pavarde724     5.80                
Vardas726      Pavarde726     8.32                
Vardas727      Pavarde727     6.96                
Vardas729      Pavarde729     7.04                
Vardas730      Pavarde730     7.84                
Vardas731      Pavarde731     5.88                
Vardas732      Pavarde732     8.80                
Vardas733      Pavarde733     6.36                
Vardas734      Pavarde734     8.48                
Vardas735      Pavarde735     6.40                
Vardas736      Pavarde736     6.48                
Vardas740      Pavarde740     6.92                
Vardas741      Pavarde741     5.56                
Vardas742      Pavarde742     6.08                
Vardas743      Pavarde743     7.56                
Vardas746      Pavarde746     6.20                
Vardas748      Pavarde748     6.52                
Vardas751      Pavarde751     7.40                
Vardas752      Pavarde752     5.24                
Vardas753      Pavarde753     6.00                
Vardas755      Pavarde755     8.32                
Vardas756      Pavarde756     8.56                
Vardas757      Pavarde757     5.44                
Vardas761      Pavarde761     6.48                
Vardas762      Pavarde762     5.88                
Vardas763      Pavarde763     7.04                
Vardas766      Pavarde766     5.92                
Vardas772      Pavarde772     8.16                
Vardas775      Pavarde775     5.08                
Vardas777      Pavarde777     7.92                
Vardas780      Pavarde780     6.24                
Vardas782      Pavarde782     7.20                
Vardas783      Pavarde783     7.40                
Vardas784      Pavarde784     6.80                
Vardas786      Pavarde786     5.68                
Vardas787      Pavarde787     6.68                
Vardas788      Pavarde788     7.52                
Vardas789      Pavarde789     7.80                
Vardas793      Pavarde793     8.96                
Vardas798      Pavarde798     6.56                
Vardas799      Pavarde799     7.48                
Vardas800      Pavarde800     5.04                
Vardas804      Pavarde804     6.84                
Vardas807      Pavarde807     5.76                
Vardas811      Pavarde811     7.40                
Vardas815      Pavarde815     7.84                
Vardas819      Pavarde819     6.08                
Vardas821      Pavarde821     6.28                
Vardas822      Pavarde822     5.76                
Vardas823      Pavarde823     5.20                
Vardas824      Pavarde824     7.96                
Vardas826      Pavarde826     7.68                
Vardas827      Pavarde827     7.04                
Vardas828      Pavarde828     6.12                
Vardas831      Pavarde831     6.72                
Vardas832      Pavarde832     6.12                
Vardas833      Pavarde833     7.16                
Vardas834      Pavarde834     8.40                
Vardas835      Pavarde835     5.80                
Vardas836      Pavarde836     7.08                
Vardas838      Pavarde838     7.24                
Vardas842      Pavarde842     5.36                
Vardas843      Pavarde843     5.88                
Vardas847      Pavarde847     7.72                
Vardas850      Pavarde850     6.28                
Vardas851      Pavarde851     5.52                
Vardas854      Pavarde854     7.88                
Vardas855      Pavarde855     5.48                
Vardas856      Pavarde856     5.88                
Vardas857      Pavarde857     6.24                
Vardas859      Pavarde859     6.08                
Vardas860      Pavarde860     5.44                
Vardas862      Pavarde862     7.32                
Vardas864      Pavarde864     6.16                
Vardas869      Pavarde869     5.08                
Vardas871      Pavarde871     7.72                
Vardas872      Pavarde872     7.56                
Vardas874      Pavarde874     6.00                
Vardas875      Pavarde875     8.24                
Vardas876      Pavarde876     7.08                
Vardas877      Pavarde877     7.92                
Vardas880      Pavarde880     8.40                
Vardas881      Pavarde881     6.32                
Vardas882      Pavarde882     7.32                
Vardas883      Pavarde883     6.32                
Vardas886      Pavarde886     7.32                
Vardas887      Pavarde887     6.68                
Vardas888      Pavarde888     6.64                
Vardas889      Pavarde889     6.56                
Vardas891      Pavarde891     5.88                
Vardas893      Pavarde893     6.36                
Vardas895      Pavarde895     5.80                
Vardas897      Pavarde897     8.24                
Vardas899      Pavarde899     8.80                
Vardas900      Pavarde900     7.68                
Vardas902      Pavarde902     8.00                
Vardas903      Pavarde903     7.40                
Vardas904      Pavarde904     7.40                
Vardas906      Pavarde906     6.68                
Vardas907      Pavarde907     6.60                
Vardas908      Pavarde908     6.48                
Vardas909      Pavarde909     6.20                
Vardas910      Pavarde910     5.16                
Vardas911      Pavarde911     7.80                
Vardas912      Pavarde912     8.24                
Vardas913      Pavarde913     5.92                
Vardas914      Pavarde914     5.76                
Vardas915      Pavarde915     5.08                
Vardas916      Pavarde916     5.88                
Vardas917      Pavarde917     6.40                
Vardas918      Pavarde918     6.40                
Vardas920      Pavarde920     6.96                
Vardas921      Pavarde921     5.96                
Vardas922      Pavarde922     7.40                
Vardas923      Pavarde923     5.76                
Vardas924      Pavarde924     8.64                
Vardas927      Pavarde927     5.32                
Vardas928      Pavarde928     5.68                
Vardas929      Pavarde929     6.92                
Vardas930      Pavarde930     6.08                
Vardas931      Pavarde931     6.76                
Vardas932      Pavarde932     6.20                
Vardas934      Pavarde934     7.68                
Vardas936      Pavarde936     7.28                
Vardas937      Pavarde937     5.72                
Vardas938      Pavarde938     6.08                
Vardas941      Pavarde941     7.32                
Vardas943      Pavarde943     5.68                
Vardas944      Pavarde944     6.44                
Vardas945      Pavarde945     7.64                
Vardas946      Pavarde946     5.60                
Vardas947      Pavarde947     7.80                
Vardas948      Pavarde948     6.28                
Vardas949      Pavarde949     6.92                
Vardas950      Pavarde950     6.00                
Vardas953      Pavarde953     5.00                
Vardas957      Pavarde957     5.64                
Vardas958      Pavarde958     7.76                
Vardas959      Pavarde959     6.00                
Vardas960      Pavarde960     7.04                
Vardas963      Pavarde963     6.64                
Vardas966      Pavarde966     6.44                
Vardas967      Pavarde967     7.40                
Vardas968      Pavarde968     5.08                
Vardas970      Pavarde970     5.12                
Vardas972      Pavarde972     5.96                
Vardas973      Pavarde973     6.24                
Vardas977      Pavarde977     5.04                
Vardas978      Pavarde978     5.00                
Vardas979      Pavarde979     6.80                
Vardas980      Pavarde980     6.24                
Vardas981      Pavarde981     7.60                
Vardas982      Pavarde982     7.88                
Vardas983      Pavarde983     5.60                
Vardas985      Pavarde985     6.84                
Vardas986      Pavarde986     8.88                
Vardas987      Pavarde987     8.00                
Vardas988      Pavarde988     6.88                
Vardas989      Pavarde989     8.00                
Vardas990      Pavarde990     7.16                
Vardas991      Pavarde991     6.00                
Vardas992      Pavarde992     6.88                
Vardas993      Pavarde993     5.48                
Vardas995      Pavarde995     6.56                
Vardas997      Pavarde997     7.04                
Vardas1000     Pavarde1000    7.68                
