Vardas         Pavarde        Galutinis(Vid.)     
Vardas133      Pavarde133     3.40                
Vardas134      Pavarde134     4.88                
Vardas136      Pavarde136     3.64                
Vardas137      Pavarde137     3.68                
Vardas139      Pavarde139     4.76                
Vardas140      Pavarde140     3.92                
Vardas141      Pavarde141     4.00                
Vardas144      Pavarde144     4.60                
Vardas146      Pavarde146     4.08                
Vardas151      Pavarde151     4.88                
Vardas152      Pavarde152     2.68                
Vardas158      Pavarde158     2.84                
Vardas159      Pavarde159     4.32                
Vardas161      Pavarde161     4.68                
Vardas163      Pavarde163     1.96                
Vardas164      Pavarde164     2.20                
Vardas165      Pavarde165     4.56                
Vardas169      Pavarde169     2.44                
Vardas172      Pavarde172     4.84                
Vardas173      Pavarde173     2.92                
Vardas176      Pavarde176     3.88                
Vardas178      Pavarde178     4.52                
Vardas181      Pavarde181     3.72                
Vardas184      Pavarde184     3.20                
Vardas186      Pavarde186     4.72                
Vardas188      Pavarde188     2.76                
Vardas189      Pavarde189     2.64                
Vardas191      Pavarde191     4.04                
Vardas193      Pavarde193     3.04                
Vardas194      Pavarde194     4.28                
Vardas196      Pavarde196     3.96                
Vardas197      Pavarde197     4.92                
Vardas198      Pavarde198     2.44                
Vardas199      Pavarde199     4.72                
Vardas202      Pavarde202     1.80                
Vardas203      Pavarde203     2.92                
Vardas206      Pavarde206     3.68                
Vardas207      Pavarde207     3.28                
Vardas213      Pavarde213     4.96                
Vardas214      Pavarde214     2.92                
Vardas216      Pavarde216     4.96                
Vardas217      Pavarde217     4.24                
Vardas218      Pavarde218     4.00                
Vardas220      Pavarde220     3.88                
Vardas224      Pavarde224     3.48                
Vardas225      Pavarde225     3.20                
Vardas227      Pavarde227     3.96                
Vardas228      Pavarde228     4.16                
Vardas232      Pavarde232     2.92                
Vardas233      Pavarde233     2.04                
Vardas234      Pavarde234     2.68                
Vardas235      Pavarde235     3.28                
Vardas238      Pavarde238     4.68                
Vardas239      Pavarde239     3.88                
Vardas240      Pavarde240     3.04                
Vardas241      Pavarde241     3.48                
Vardas244      Pavarde244     3.04                
Vardas249      Pavarde249     3.24                
Vardas250      Pavarde250     4.96                
Vardas251      Pavarde251     4.84                
Vardas253      Pavarde253     4.60                
Vardas256      Pavarde256     3.60                
Vardas258      Pavarde258     3.96                
Vardas259      Pavarde259     2.12                
Vardas260      Pavarde260     3.32                
Vardas265      Pavarde265     3.48                
Vardas268      Pavarde268     2.36                
Vardas269      Pavarde269     4.44                
Vardas270      Pavarde270     4.48                
Vardas271      Pavarde271     4.60                
Vardas272      Pavarde272     4.36                
Vardas273      Pavarde273     4.76                
Vardas276      Pavarde276     3.44                
Vardas279      Pavarde279     4.16                
Vardas280      Pavarde280     2.68                
Vardas282      Pavarde282     4.76                
Vardas284      Pavarde284     4.00                
Vardas286      Pavarde286     2.04                
Vardas288      Pavarde288     3.56                
Vardas289      Pavarde289     3.56                
Vardas290      Pavarde290     3.56                
Vardas294      Pavarde294     2.92                
Vardas295      Pavarde295     2.52                
Vardas296      Pavarde296     2.52                
Vardas297      Pavarde297     4.76                
Vardas298      Pavarde298     2.92                
Vardas300      Pavarde300     3.56                
Vardas302      Pavarde302     4.48                
Vardas303      Pavarde303     4.00                
Vardas304      Pavarde304     4.52                
Vardas306      Pavarde306     3.60                
Vardas308      Pavarde308     4.36                
Vardas314      Pavarde314     3.72                
Vardas315      Pavarde315     4.04                
Vardas319      Pavarde319     4.56                
Vardas323      Pavarde323     3.32                
Vardas328      Pavarde328     4.56                
Vardas330      Pavarde330     3.76                
Vardas331      Pavarde331     4.64                
Vardas332      Pavarde332     4.52                
Vardas333      Pavarde333     3.28                
Vardas334      Pavarde334     4.20                
Vardas337      Pavarde337     3.88                
Vardas346      Pavarde346     3.00                
Vardas347      Pavarde347     4.32                
Vardas350      Pavarde350     4.60                
Vardas354      Pavarde354     4.84                
Vardas356      Pavarde356     3.56                
Vardas357      Pavarde357     3.44                
Vardas358      Pavarde358     2.76                
Vardas359      Pavarde359     3.36                
Vardas364      Pavarde364     3.28                
Vardas367      Pavarde367     4.00                
Vardas370      Pavarde370     4.60                
Vardas371      Pavarde371     3.12                
Vardas373      Pavarde373     3.84                
Vardas375      Pavarde375     4.48                
Vardas380      Pavarde380     3.20                
Vardas382      Pavarde382     3.36                
Vardas383      Pavarde383     4.32                
Vardas384      Pavarde384     3.32                
Vardas389      Pavarde389     4.40                
Vardas396      Pavarde396     2.84                
Vardas399      Pavarde399     4.20                
Vardas401      Pavarde401     2.92                
Vardas403      Pavarde403     3.28                
Vardas410      Pavarde410     3.32                
Vardas411      Pavarde411     4.32                
Vardas412      Pavarde412     3.08                
Vardas413      Pavarde413     3.36                
Vardas416      Pavarde416     4.84                
Vardas417      Pavarde417     3.96                
Vardas418      Pavarde418     3.40                
Vardas419      Pavarde419     4.24                
Vardas421      Pavarde421     4.52                
Vardas425      Pavarde425     3.88                
Vardas427      Pavarde427     4.16                
Vardas429      Pavarde429     3.00                
Vardas431      Pavarde431     3.16                
Vardas438      Pavarde438     4.32                
Vardas441      Pavarde441     3.48                
Vardas446      Pavarde446     3.68                
Vardas448      Pavarde448     3.56                
Vardas458      Pavarde458     4.80                
Vardas466      Pavarde466     3.92                
Vardas469      Pavarde469     4.64                
Vardas471      Pavarde471     4.48                
Vardas473      Pavarde473     4.52                
Vardas478      Pavarde478     3.24                
Vardas482      Pavarde482     3.52                
Vardas483      Pavarde483     4.76                
Vardas493      Pavarde493     3.08                
Vardas494      Pavarde494     2.92                
Vardas495      Pavarde495     3.96                
Vardas502      Pavarde502     3.24                
Vardas503      Pavarde503     3.64                
Vardas504      Pavarde504     2.84                
Vardas508      Pavarde508     3.96                
Vardas510      Pavarde510     2.84                
Vardas511      Pavarde511     2.40                
Vardas512      Pavarde512     4.80                
Vardas515      Pavarde515     4.08                
Vardas519      Pavarde519     3.44                
Vardas526      Pavarde526     2.44                
Vardas528      Pavarde528     4.72                
Vardas530      Pavarde530     4.28                
Vardas531      Pavarde531     4.40                
Vardas535      Pavarde535     3.68                
Vardas536      Pavarde536     2.20                
Vardas537      Pavarde537     2.48                
Vardas539      Pavarde539     2.60                
Vardas544      Pavarde544     4.08                
Vardas547      Pavarde547     2.56                
Vardas549      Pavarde549     4.52                
Vardas551      Pavarde551     3.96                
Vardas552      Pavarde552     3.36                
Vardas559      Pavarde559     4.20                
Vardas560      Pavarde560     3.96                
Vardas562      Pavarde562     3.44                
Vardas563      Pavarde563     4.16                
Vardas566      Pavarde566     4.48                
Vardas568      Pavarde568     2.84                
Vardas569      Pavarde569     4.48                
Vardas571      Pavarde571     2.36                
Vardas574      Pavarde574     4.40                
Vardas575      Pavarde575     4.32                
Vardas576      Pavarde576     4.84                
Vardas580      Pavarde580     4.08                
Vardas584      Pavarde584     3.12                
Vardas587      Pavarde587     2.72                
Vardas588      Pavarde588     3.12                
Vardas589      Pavarde589     4.92                
Vardas599      Pavarde599     4.76                
Vardas601      Pavarde601     4.68                
Vardas602      Pavarde602     4.52                
Vardas606      Pavarde606     3.32                
Vardas607      Pavarde607     3.24                
Vardas608      Pavarde608     3.48                
Vardas610      Pavarde610     3.08                
Vardas612      Pavarde612     3.36                
Vardas613      Pavarde613     3.56                
Vardas614      Pavarde614     3.32                
Vardas622      Pavarde622     3.92                
Vardas623      Pavarde623     4.20                
Vardas624      Pavarde624     2.28                
Vardas630      Pavarde630     2.68                
Vardas633      Pavarde633     4.24                
Vardas634      Pavarde634     2.28                
Vardas635      Pavarde635     4.00                
Vardas637      Pavarde637     3.92                
Vardas638      Pavarde638     4.88                
Vardas644      Pavarde644     4.16                
Vardas645      Pavarde645     3.28                
Vardas649      Pavarde649     3.32                
Vardas650      Pavarde650     3.36                
Vardas651      Pavarde651     4.68                
Vardas654      Pavarde654     3.64                
Vardas657      Pavarde657     3.92                
Vardas659      Pavarde659     3.28                
Vardas661      Pavarde661     3.96                
Vardas664      Pavarde664     4.80                
Vardas665      Pavarde665     3.96                
Vardas666      Pavarde666     4.84                
Vardas667      Pavarde667     3.72                
Vardas668      Pavarde668     4.96                
Vardas670      Pavarde670     4.04                
Vardas671      Pavarde671     2.68                
Vardas672      Pavarde672     2.28                
Vardas675      Pavarde675     2.88                
Vardas678      Pavarde678     4.76                
Vardas683      Pavarde683     3.64                
Vardas684      Pavarde684     4.80                
Vardas686      Pavarde686     3.44                
Vardas687      Pavarde687     3.44                
Vardas689      Pavarde689     4.96                
Vardas695      Pavarde695     3.68                
Vardas696      Pavarde696     4.88                
Vardas700      Pavarde700     4.60                
Vardas701      Pavarde701     3.52                
Vardas705      Pavarde705     4.72                
Vardas708      Pavarde708     3.92                
Vardas710      Pavarde710     3.64                
Vardas712      Pavarde712     2.64                
Vardas715      Pavarde715     4.16                
Vardas717      Pavarde717     3.20                
Vardas718      Pavarde718     4.08                
Vardas724      Pavarde724     2.80                
Vardas728      Pavarde728     4.20                
Vardas735      Pavarde735     4.40                
Vardas737      Pavarde737     3.08                
Vardas738      Pavarde738     4.88                
Vardas743      Pavarde743     4.56                
Vardas744      Pavarde744     2.80                
Vardas746      Pavarde746     4.52                
Vardas751      Pavarde751     4.88                
Vardas753      Pavarde753     3.08                
Vardas754      Pavarde754     4.00                
Vardas755      Pavarde755     2.60                
Vardas756      Pavarde756     3.60                
Vardas757      Pavarde757     4.56                
Vardas760      Pavarde760     2.60                
Vardas761      Pavarde761     4.48                
Vardas762      Pavarde762     4.56                
Vardas763      Pavarde763     4.48                
Vardas764      Pavarde764     2.64                
Vardas766      Pavarde766     2.28                
Vardas767      Pavarde767     3.88                
Vardas768      Pavarde768     3.96                
Vardas769      Pavarde769     4.12                
Vardas770      Pavarde770     4.16                
Vardas772      Pavarde772     4.84                
Vardas774      Pavarde774     3.16                
Vardas775      Pavarde775     4.36                
Vardas776      Pavarde776     4.80                
Vardas778      Pavarde778     3.84                
Vardas780      Pavarde780     4.24                
Vardas781      Pavarde781     4.84                
Vardas784      Pavarde784     4.48                
Vardas786      Pavarde786     4.28                
Vardas790      Pavarde790     4.16                
Vardas795      Pavarde795     4.08                
Vardas796      Pavarde796     4.20                
Vardas799      Pavarde799     4.44                
Vardas804      Pavarde804     4.36                
Vardas807      Pavarde807     4.12                
Vardas811      Pavarde811     3.52                
Vardas812      Pavarde812     4.28                
Vardas813      Pavarde813     4.36                
Vardas816      Pavarde816     3.80                
Vardas818      Pavarde818     4.20                
Vardas824      Pavarde824     3.72                
Vardas825      Pavarde825     2.68                
Vardas829      Pavarde829     2.92                
Vardas830      Pavarde830     3.24                
Vardas831      Pavarde831     3.80                
Vardas833      Pavarde833     3.04                
Vardas834      Pavarde834     4.24                
Vardas835      Pavarde835     3.76                
Vardas840      Pavarde840     2.92                
Vardas841      Pavarde841     3.92                
Vardas844      Pavarde844     4.36                
Vardas846      Pavarde846     3.76                
Vardas847      Pavarde847     3.80                
Vardas848      Pavarde848     2.80                
Vardas850      Pavarde850     3.04                
Vardas852      Pavarde852     3.36                
Vardas854      Pavarde854     2.68                
Vardas855      Pavarde855     3.60                
Vardas858      Pavarde858     2.80                
Vardas859      Pavarde859     4.36                
Vardas860      Pavarde860     3.08                
Vardas865      Pavarde865     4.04                
Vardas866      Pavarde866     3.40                
Vardas870      Pavarde870     4.40                
Vardas871      Pavarde871     3.92                
Vardas872      Pavarde872     3.60                
Vardas875      Pavarde875     3.36                
Vardas878      Pavarde878     3.96                
Vardas885      Pavarde885     3.28                
Vardas893      Pavarde893     4.32                
Vardas894      Pavarde894     4.96                
Vardas895      Pavarde895     2.20                
Vardas896      Pavarde896     4.00                
Vardas901      Pavarde901     3.84                
Vardas903      Pavarde903     4.24                
Vardas904      Pavarde904     3.16                
Vardas911      Pavarde911     3.96                
Vardas913      Pavarde913     3.92                
Vardas919      Pavarde919     4.16                
Vardas921      Pavarde921     3.44                
Vardas922      Pavarde922     3.88                
Vardas923      Pavarde923     4.96                
Vardas925      Pavarde925     2.56                
Vardas928      Pavarde928     3.16                
Vardas930      Pavarde930     2.56                
Vardas933      Pavarde933     2.92                
Vardas934      Pavarde934     3.20                
Vardas937      Pavarde937     4.76                
Vardas938      Pavarde938     3.56                
Vardas939      Pavarde939     3.24                
Vardas940      Pavarde940     4.32                
Vardas943      Pavarde943     4.12                
Vardas946      Pavarde946     2.96                
Vardas948      Pavarde948     3.44                
Vardas950      Pavarde950     3.88                
Vardas953      Pavarde953     2.68                
Vardas954      Pavarde954     4.56                
Vardas956      Pavarde956     4.76                
Vardas958      Pavarde958     3.64                
Vardas959      Pavarde959     4.28                
Vardas960      Pavarde960     3.92                
Vardas963      Pavarde963     2.52                
Vardas965      Pavarde965     3.16                
Vardas971      Pavarde971     2.92                
Vardas974      Pavarde974     3.40                
Vardas975      Pavarde975     3.80                
Vardas979      Pavarde979     3.96                
Vardas980      Pavarde980     4.28                
Vardas981      Pavarde981     4.80                
Vardas982      Pavarde982     3.76                
Vardas984      Pavarde984     2.60                
Vardas985      Pavarde985     4.44                
Vardas987      Pavarde987     4.40                
Vardas994      Pavarde994     4.44                
Vardas995      Pavarde995     3.28                
Vardas998      Pavarde998     3.40                
Vardas1000     Pavarde1000    4.84                
